provider,state
Uniklinik RWTH Aachen,Nordrhein-Westfalen
Hertie School of Governance,Berlin
Universität Gießen,Hessen
Kath. Hochschule Freiburg,Baden-Württemberg
Hochschule Weihenstephan-Triesdorf,Bayern
Hochschule Rhein-Waal,Nordrhein-Westfalen
HTWG Konstanz,Baden-Württemberg
Hochschule Coburg,Bayern
Universität Osnabrück,Niedersachsen
PH Heidelberg,Baden-Württemberg
Hochschule Stralsund,Mecklenburg-Vorpommern
PH Freiburg,Baden-Württemberg
HTW Dresden,Sachsen
Hochschule Emden/Leer,Niedersachsen
Duale Hochschule Sachsen,Sachsen
Hochschule Merseburg,Sachsen-Anhalt
Universität Trier,Rheinland-Pfalz
PH Karlsruhe,Baden-Württemberg
TH Würzburg-Schweinfurt,Bayern
TU Clausthal,Niedersachsen
Hochschule Fresenius,Baden-Württemberg
Hochschule Zittau/Görlitz,Sachsen
Hochschule Landshut,Bayern
Hochschule Mannheim,Baden-Württemberg
Hochschule Geisenheim,Hessen
FH Erfurt,Thüringen
Hochschule Ludwigsburg,Baden-Württemberg
FH Kiel,Schleswig-Holstein
Universität Flensburg,Schleswig-Holstein
Medical School Berlin,Berlin
Hochschule Vechta,Niedersachsen
Universität der Bundeswehr München,Bayern
Hochschule für Gestaltung Offenbach,Hessen
Hochschule Hof,Bayern
Hochschule Ravensburg-Weingarten,Baden-Württemberg
FOM Hochschule,Nordrhein-Westfalen
HTWK Leipzig,Sachsen
Hochschule Trier,Rheinland-Pfalz
Nordakademie Hochschule der Wirtschaft,Schleswig-Holstein
Ostbayerische Technische Hochschule Amberg-Weiden,Bayern
Hochschule Flensburg,Schleswig-Holstein
Hochschule Anhalt,Sachsen-Anhalt
TH Georg Agricola,Nordrhein-Westfalen
Hochschule Neubrandenburg,Mecklenburg-Vorpommern
Hochschule Harz,Sachsen-Anhalt
Hochschule für Polizei und öffentliche Verwaltung NRW,Nordrhein-Westfalen
PH Weingarten,Baden-Württemberg
Folkwang Universität der Künste,Nordrhein-Westfalen
TH Aschaffenburg,Bayern
HfM Weimar,Thüringen
Hochschule der DGUV,Hessen
Hochschule Fulda,Hessen
HFM Bonn,Nordrhein-Westfalen
Umwelt-Campus Birkenfeld,Rheinland-Pfalz
Westsächsische Hochschule Zwickau (FH),Sachsen
Hochschule Wismar,Mecklenburg-Vorpommern
Hochschule für Musik und Tanz Köln,Nordrhein-Westfalen
FH für Verwaltung und Dienstleistung Altenholz,Schleswig-Holstein
HHL Leipzig Graduate School of Management,Sachsen
Hasso-Plattner-Institut,Brandenburg
Duale Hochschule Gera-Eisenach,Thüringen
PH Schwäbisch Gmünd,Baden-Württemberg
TU Chemnitz,Sachsen
Filmuniversität Babelsberg,Brandenburg
Universität der Künste Berlin,Berlin
International School of Management,Nordrhein-Westfalen
Hochschule Kaiserslautern,Rheinland-Pfalz
Hochschule Bremerhaven,Bremen
Universitätsmedizin Mainz,Rheinland-Pfalz
WHU – Otto Beisheim School of Management,Nordrhein-Westfalen
BSP Business and Law School,Berlin
Hochschule der Bundesagentur für Arbeit,Baden-Württemberg
Kath. Hochschule NRW,Nordrhein-Westfalen
Hessische Hochschule für öffentliches Management und Sicherheit,Hessen
Popakademie Baden-Württemberg,Baden-Württemberg
FH Westküste,Schleswig-Holstein
Hochschule für Gesundheit Bochum,Nordrhein-Westfalen
Helmut-Schmidt-Universität Hamburg,Hamburg
Cologne Business School,Nordrhein-Westfalen
SRH Fernhochschule,Baden-Württemberg
Evangelische Hochschule Berlin,Berlin
Hochschule Schmalkalden,Thüringen
Hochschule für Musik Detmold,Nordrhein-Westfalen
PFH - Private Hochschule Göttingen,Niedersachsen
HBK Saarbrücken,Saarland
IBA Dual,Hessen
Fliedner Fachhochschule,Nordrhein-Westfalen
