domain,country,provider_type,provider,count
apmsg.de,unknown,1.0,0,
deer-consulting.de,unknown,1.0,0,
virtual-identity.com,unknown,1.0,0,
schlecht2000.de,unknown,1.0,0,
sirus.de,unknown,1.0,0,
yellow-boat.com,unknown,1.0,0,
heart-of-gold.de,unknown,1.0,0,
awo-spi.de,unknown,1.0,0,
lkgp.de,unknown,1.0,0,
tinner.ch,unknown,1.0,0,
wulf-luck.de,unknown,1.0,0,
bechtel.de,unknown,1.0,0,
schulit-nk.de,unknown,1.0,0,
rombocombo.com,unknown,1.0,0,
ibvogt.com,unknown,1.0,0,
diacom-altenhilfe.de,unknown,1.0,0,
bigger.ch,unknown,1.0,0,
perspektiwo.de,unknown,1.0,0,
piagroup.com,unknown,1.0,0,
athenetz.de,unknown,1.0,0,
cordes-ip.com,unknown,1.0,0,
neukirchener.de,unknown,1.0,0,
schaeferborbeck.de,unknown,1.0,0,
oesers.net,unknown,1.0,0,
hediger.online,unknown,1.0,0,
stoic-analytics.com,unknown,1.0,0,
ualg.pt,Portugal,2.0,Universidade do Algarve,
neffetzz.de,unknown,1.0,0,
wenskus.com,unknown,1.0,0,
gms-neubulach.de,unknown,1.0,0,
studiososa.de,unknown,1.0,0,
stadt.freiburg.de,unknown,1.0,0,
hamburg-mitte.hamburg.de,unknown,1.0,0,
mainzer-stadtwerke.de,unknown,1.0,0,
katsiak.com,unknown,1.0,0,
hornungmail.de,0,0.0,0.0,
derratz.de,unknown,1.0,0,
romutec.de,unknown,1.0,0,
bs3-bamberg.de,unknown,1.0,0,
icn-artem.com,unknown,1.0,0,
datenschutz-trier.com,unknown,1.0,0,
gandre.de,unknown,1.0,0,
julianlaidig.com,unknown,1.0,0,
giepen.net,unknown,1.0,0,
taltech.ee,unknown,1.0,0,
publicone.com,unknown,1.0,0,
mc-zirkel.de,unknown,1.0,0,
source-one.de,unknown,1.0,0,
schulen.regensburg.de,unknown,1.0,0,
samsongroup.com,unknown,1.0,0,
konzept17.de,unknown,1.0,0,
schriftdolmetscher-nrw.de,unknown,1.0,0,
frankfurth.net,unknown,1.0,0,
strodtkoetter.com,unknown,1.0,0,
birkles.de,unknown,1.0,0,
cg-wittlich.eu,unknown,1.0,0,
derkrieger.ch,unknown,1.0,0,
urimat.com,unknown,1.0,0,
muenet.de,unknown,1.0,0,
lex.tm,unknown,1.0,0,
b0z.de,unknown,1.0,0,
eurosoc-digital.org,unknown,1.0,0,
uzbonn.de,unknown,1.0,0,
uhlig-schoenian.de,unknown,1.0,0,
akademie-aknw.de,unknown,1.0,0,
haenel.biz,unknown,1.0,0,
lksuedwestpfalz.de,unknown,1.0,0,
fluetke.eu,unknown,1.0,0,
itkam.org,unknown,1.0,0,
unterlechner.net,unknown,1.0,0,
std.yildiz.edu.tr,Turkey,2.0,Yildiz Technical University,
lsbg.hamburg.de,unknown,1.0,0,
mtk.org,unknown,1.0,0,
osz-jas.de,unknown,1.0,0,
ingo-weishaupt.de,unknown,1.0,0,
wirthwein.de,unknown,1.0,0,
mw-kempten.de,unknown,1.0,0,
dawid.cd,unknown,1.0,0,
infratec.de,unknown,1.0,0,
it-soft.com,unknown,1.0,0,
cowoxu.eu,unknown,1.0,0,
abc-bau.de,unknown,1.0,0,
olpe.de,unknown,1.0,0,
item24.com,unknown,1.0,0,
orbitalis.de,unknown,1.0,0,
minhongzhang.com,unknown,1.0,0,
hvsv.de,unknown,1.0,0,
inspektour.de,unknown,1.0,0,
sausen84.de,unknown,1.0,0,
kps.com,unknown,1.0,0,
matthias-haenisch.de,unknown,1.0,0,
training-deluxe.de,unknown,1.0,0,
bfw-dortmund.de,unknown,1.0,0,
fastmail.fm,unknown,0.0,0.0,
hoerwi.de,unknown,1.0,0,
baumgroup.de,unknown,1.0,0,
hfg-offenbach.de,Germany,2.0,Hochschule für Gestaltung Offenbach,
hhg-calw.de,unknown,1.0,0,
vormstein.onmicrosoft.com,unknown,1.0,0,
katag.net,unknown,1.0,0,
yougain.de,unknown,1.0,0,
psb-gmbh.de,unknown,1.0,0,
munv.nrw.de,unknown,1.0,0,
akbk-muenster.de,unknown,1.0,0,
gpe-mainz.de,unknown,1.0,0,
bbz-rd-eck.de,unknown,1.0,0,
flex-pos.com,unknown,1.0,0,
a-kaffenberger.de,unknown,1.0,0,
matthias-hochmuth.de,unknown,1.0,0,
stadt-witten.de,unknown,1.0,0,
22grounded.org,unknown,1.0,0,
bytehike.de,unknown,1.0,0,
geitmann.de,unknown,1.0,0,
klecka.at,unknown,1.0,0,
ra-wessel.de,unknown,1.0,0,
teamaffairs.de,unknown,1.0,0,
igb-berlin.de,unknown,1.0,0,
komm-passion.de,unknown,1.0,0,
socialimpact.eu,unknown,1.0,0,
distart.de,unknown,1.0,0,
glockenspitz.de,unknown,1.0,0,
ftn.thm.de,Germany,2.0,Technische Hochschule Mittelhessen,
argo-hytos.com,unknown,1.0,0,
fernkurs-wuerzburg.de,unknown,1.0,0,
wilhelm-busch-gymnasium.de,unknown,1.0,0,
moetzingen.de,unknown,1.0,0,
berufskolleg-aachen.de,unknown,1.0,0,
wirtschaft.hessen.de,unknown,1.0,0,
durr.com,unknown,1.0,0,
bruchwalski.de,unknown,1.0,0,
nexigroup.com,unknown,1.0,0,
leser.de,unknown,1.0,0,
oclc.org,unknown,1.0,0,
noha-cons.de,unknown,1.0,0,
kolb-partner.net,unknown,1.0,0,
bineli.de,unknown,1.0,0,
cibonline.at,unknown,1.0,0,
posteo.co,0,0.0,0.0,
biele-mefebue.de,unknown,1.0,0,
hhg-hamburg.de,unknown,1.0,0,
waiys.com,unknown,1.0,0,
coduco.de,unknown,1.0,0,
loxxess.com,unknown,1.0,0,
inside-online.de,0,0.0,0.0,
zs-paletten.de,unknown,1.0,0,
dula.de,unknown,1.0,0,
biomat.uni-freiburg.de,Germany,2.0,Universität Freiburg,
emma-sleep.com,unknown,1.0,0,
gukenbiehl.eu,unknown,1.0,0,
leonhards.de,unknown,1.0,0,
gkv.ac.in,unknown,1.0,0,
angelika-kindt.de,unknown,1.0,0,
3kw.de,unknown,1.0,0,
db.com,unknown,1.0,0,
eventus-gmbh.com,unknown,1.0,0,
jbc-consulting.de,unknown,1.0,0,
career-franklin.de,unknown,1.0,0,
weidmueller.com,unknown,1.0,0,
neumuenster.de,unknown,1.0,0,
cfm-charite.de,Germany,2.0,Charité - Universitätsmedizin Berlin,
griesson.de,unknown,1.0,0,
brueggen.com,unknown,1.0,0,
orsbap.com,unknown,1.0,0,
sinusquadrat.com,unknown,1.0,0,
ionos.com,unknown,1.0,0,
mediakonzepte.com,unknown,1.0,0,
graudata.com,unknown,1.0,0,
lb.sem-bw.org,unknown,1.0,0,
deutsche-leasing.com,unknown,1.0,0,
samum.ch,unknown,1.0,0,
juris.de,unknown,1.0,0,
md-bund.de,unknown,1.0,0,
jesus.ch,unknown,1.0,0,
eipos.de,unknown,1.0,0,
haraldkreuzer.net,unknown,1.0,0,
cms.hu-berlin.de,Germany,2.0,HU Berlin,
mmehn.de,unknown,1.0,0,
nauerd.de,unknown,1.0,0,
technical-office.de,unknown,1.0,0,
dfs.de,unknown,1.0,0,
iccento.com,unknown,1.0,0,
grosse-kappenberg.de,unknown,1.0,0,
bbs1-delmenhorst.de,unknown,1.0,0,
staatsaffaire.com,unknown,1.0,0,
max-lange.de,unknown,1.0,0,
time-change.com,unknown,1.0,0,
niedax.de,unknown,1.0,0,
rechenmacher.it,unknown,1.0,0,
athora.com,unknown,1.0,0,
student.ibs-ol.de,Germany,2.0,Berufsakademie für IT und Wirtschaft,
bcb.gmbh,unknown,1.0,0,
zalf.de,unknown,1.0,0,
diakonie-ruhr.de,unknown,1.0,0,
eurobalance.de,unknown,1.0,0,
movis.ch,unknown,1.0,0,
cadell.eu,unknown,1.0,0,
dr-roensberg.com,unknown,1.0,0,
hinzes.de,unknown,1.0,0,
wappensc.de,unknown,1.0,0,
kumax.de,unknown,1.0,0,
hoehn-mail.de,0,0.0,0.0,
axilaris.de,unknown,1.0,0,
evodion.de,unknown,1.0,0,
curtis.com,unknown,1.0,0,
bergamin.info,unknown,1.0,0,
blueskyfl.com,unknown,1.0,0,
presseverband-bielefeld.de,unknown,1.0,0,
rho.nl,unknown,1.0,0,
bghollabrunn.ac.at,unknown,1.0,0,
louisenlund.de,unknown,1.0,0,
ini.de,unknown,1.0,0,
forst.hessen.de,unknown,1.0,0,
de.abb.com,unknown,1.0,0,
fewo-reetdachhaus.de,unknown,1.0,0,
gigamo.de,unknown,1.0,0,
kthomas.de,unknown,1.0,0,
weber-direkt.com,unknown,1.0,0,
conante.de,unknown,1.0,0,
jks-oe.de,unknown,1.0,0,
oliver-koenig.com,0,0.0,0.0,
panic-pictures.de,unknown,1.0,0,
sip-telefonanlagen.de,unknown,1.0,0,
kolakowski.de,unknown,1.0,0,
styleinc.eu,unknown,1.0,0,
zahn-fuerfeld.de,unknown,1.0,0,
helvetia.de,unknown,1.0,0,
bloedgen.com,unknown,1.0,0,
capricorn-group.ch,unknown,1.0,0,
awo-niederrhein.de,unknown,1.0,0,
delitzsch.de,unknown,1.0,0,
sehnsucht-norden.de,unknown,1.0,0,
emi.fraunhofer.de,unknown,1.0,0,
fserz.de,unknown,1.0,0,
nexperia.com,unknown,1.0,0,
rinke.tv,unknown,1.0,0,
erco.com,unknown,1.0,0,
nbcp.de,unknown,1.0,0,
tracetronic.de,unknown,1.0,0,
mosecker.de,unknown,1.0,0,
reiseregion-flaeming.de,unknown,1.0,0,
moto-pm.de,unknown,1.0,0,
unil.ch,Switzerland,2.0,Université de Lausanne,
nestwaerme.org,unknown,1.0,0,
tim.de,unknown,1.0,0,
bingo-umweltstiftung.de,unknown,1.0,0,
bredex.de,unknown,1.0,0,
blackforestcode.com,unknown,1.0,0,
hoelzlwimmer.com,unknown,1.0,0,
stadtbau-wuerzburg.de,unknown,1.0,0,
wb-consulting.eu,unknown,1.0,0,
parrag.com,unknown,1.0,0,
karls-web.de,0,0.0,0.0,
edataconsulting.de,unknown,1.0,0,
vitamin-text.de,unknown,1.0,0,
batrekhy.de,unknown,1.0,0,
asb-zwickau.de,unknown,1.0,0,
rsag-online.de,0,0.0,0.0,
potsdam-sciencepark.de,unknown,1.0,0,
greife.net,unknown,1.0,0,
sciencespo-lille.eu,unknown,1.0,0,
hm.com,unknown,1.0,0,
edorex.ch,unknown,1.0,0,
bfw-wuerzburg.de,unknown,1.0,0,
majaschulz.de,unknown,1.0,0,
gratz.de,unknown,1.0,0,
glock-dtp.de,unknown,1.0,0,
juri.name,unknown,1.0,0,
lernwerkstatt-oststadt.de,unknown,1.0,0,
maginot.de,unknown,1.0,0,
peter-behrens-schule.de,unknown,1.0,0,
digitaldurstig.de,unknown,1.0,0,
taures.de,unknown,1.0,0,
arlafoods.com,unknown,1.0,0,
ffg-dbr.de,unknown,1.0,0,
bitmedia.at,unknown,1.0,0,
etage3.com,unknown,1.0,0,
all-for-one.com,unknown,1.0,0,
danybeyer.de,unknown,1.0,0,
ts.berlin,unknown,1.0,0,
fczb.de,unknown,1.0,0,
student.jade-hs.de,Germany,2.0,Hochschule Wilhelmshaven/Oldenburg/Elsfleth,
sylviabernhardt.de,unknown,1.0,0,
tmuen.thueringen.de,unknown,1.0,0,
arisha.de,unknown,1.0,0,
rsi-eupen.be,unknown,1.0,0,
bomsdorf.cc,unknown,1.0,0,
onat.top,unknown,1.0,0,
bwsa-group.de,unknown,1.0,0,
goldmedia.de,unknown,1.0,0,
rr-pr.com,unknown,1.0,0,
metz-connect.com,unknown,1.0,0,
nttdata.com,unknown,1.0,0,
bwconsulting.de,unknown,1.0,0,
mattsee.schule,unknown,1.0,0,
thueringen-entdecken.de,unknown,1.0,0,
awmw.org,unknown,1.0,0,
susannemain.de,unknown,1.0,0,
tettnang.de,unknown,1.0,0,
danielyan.de,unknown,1.0,0,
utu.fi,Finland,2.0,University of Turku,
wbscodingschool.com,unknown,1.0,0,
stauffenbergschule-frankfurt.de,unknown,1.0,0,
medien.rwth-aachen.de,Germany,2.0,RWTH Aachen,
kienbacher.at,unknown,1.0,0,
spam.care,unknown,1.0,0,
ki-offensive.com,unknown,1.0,0,
rsvoh.de,unknown,1.0,0,
effner.de,unknown,1.0,0,
via-berlin.de,unknown,1.0,0,
gallitzendoerfer.net,unknown,1.0,0,
ib-issum.de,unknown,1.0,0,
peterschwoebel.de,unknown,1.0,0,
cwd-solution.com,unknown,1.0,0,
mpsoftware.de,unknown,1.0,0,
klees-mail.de,0,0.0,0.0,
nielsen.com,unknown,1.0,0,
die-essgefaehrten.de,unknown,1.0,0,
bs5-augsburg.de,unknown,1.0,0,
oesterle-ulm.de,unknown,1.0,0,
faltbox.de,unknown,1.0,0,
sk-jugend.de,unknown,1.0,0,
ines-robbers.de,unknown,1.0,0,
outlook.sg,unknown,0.0,0.0,
buzz-consulting.de,unknown,1.0,0,
denkabenteuer.de,unknown,1.0,0,
kbv.de,unknown,1.0,0,
babbel.com,unknown,1.0,0,
otto-schmidt.de,unknown,1.0,0,
both-directions.com,unknown,1.0,0,
lessingtiede.de,unknown,1.0,0,
mann-hummel.com,unknown,1.0,0,
bwgs.de,unknown,1.0,0,
mail.ntua.gr,Greece,2.0,National Technical University of Athens,
effective-world.com,unknown,1.0,0,
mbu-gym.de,unknown,1.0,0,
filesup.de,unknown,1.0,0,
mt-baltics.com,unknown,1.0,0,
fc-gruppe.de,unknown,1.0,0,
carlalangner.de,unknown,1.0,0,
diakonissen.at,unknown,1.0,0,
jennifer-triebel.de,unknown,1.0,0,
wierzbald.com,unknown,1.0,0,
boconpro.de,unknown,1.0,0,
knorr-bremse.com,unknown,1.0,0,
sz.uni-stuttgart.de,Germany,2.0,Universität Stuttgart,
phygeo.uni-hannover.de,Germany,2.0,Universität Hannover,
lambsdorff-cie.de,unknown,1.0,0,
intensivlernen.de,unknown,1.0,0,
schuleambreitenluch.de,unknown,1.0,0,
iww.de,unknown,1.0,0,
dr-reinhard-titel.de,unknown,1.0,0,
bs08.eu,unknown,1.0,0,
gewi.de,unknown,1.0,0,
pia-maria.de,unknown,1.0,0,
dde.kyocera.com,unknown,1.0,0,
email.cz,unknown,0.0,0.0,
staaden.net,unknown,1.0,0,
wuerth-ag.ch,unknown,1.0,0,
schreib-manufaktur.de,unknown,1.0,0,
sanofi.com,unknown,1.0,0,
enercity.de,unknown,1.0,0,
konrad-martin-haus.de,unknown,1.0,0,
constanzeholzwarth.com,unknown,1.0,0,
jacobeit.de,unknown,1.0,0,
lbv.brandenburg.de,unknown,1.0,0,
slzb.de,unknown,1.0,0,
wis-gmbh.de,unknown,1.0,0,
boehmerle.de,unknown,1.0,0,
gevita.de,unknown,1.0,0,
rw-kupplungen.de,unknown,1.0,0,
schulstiftung-freiburg.de,unknown,1.0,0,
choices.at,unknown,1.0,0,
studioimnetz.de,unknown,1.0,0,
wolfram-consult.com,unknown,1.0,0,
mint-vernetzt.de,unknown,1.0,0,
sartre-gymnasium.de,unknown,1.0,0,
swan.de,unknown,1.0,0,
rudern.de,unknown,1.0,0,
marien-hospital.com,unknown,1.0,0,
berlin-wasserturm.de,unknown,1.0,0,
drklvnds.de,unknown,1.0,0,
provinzial.com,unknown,1.0,0,
edu.aau.at,unknown,1.0,0,
the-aidgency.de,unknown,1.0,0,
csv-software.de,unknown,1.0,0,
luebeck.de,unknown,1.0,0,
babtec.de,unknown,1.0,0,
jura.com,unknown,1.0,0,
flash4school.de,unknown,1.0,0,
rmbk.de,unknown,1.0,0,
droemlingschule.de,unknown,1.0,0,
ylem.at,unknown,1.0,0,
jm.lernsax.de,unknown,1.0,0,
hernie.de,unknown,1.0,0,
mariannevoit.de,unknown,1.0,0,
ub.tum.de,Germany,2.0,TU München,
mfk.fau.de,Germany,2.0,Universität Erlangen-Nürnberg,
steva.org,unknown,1.0,0,
doerner-ing.com,unknown,1.0,0,
rockwool.com,unknown,1.0,0,
uumm.de,unknown,1.0,0,
behringer.net,unknown,1.0,0,
erfolgsmanufaktur.de,unknown,1.0,0,
promedio-halle.de,unknown,1.0,0,
ingridsteiner.com,unknown,1.0,0,
flores-santiago.de,unknown,1.0,0,
geg-bu.de,unknown,1.0,0,
buildingminds.com,unknown,1.0,0,
woschu-wob.de,unknown,1.0,0,
ksk.ch,unknown,1.0,0,
rebeccadernbach.de,unknown,1.0,0,
proton.me,0,0.0,0.0,
lsb-brandenburg.de,unknown,1.0,0,
urbansillmann.de,unknown,1.0,0,
sdks-rottenburg.de,unknown,1.0,0,
sbwil.org,unknown,1.0,0,
vfm-gruppe.de,unknown,1.0,0,
bernkastel-wittlich.de,unknown,1.0,0,
sfl-nw.bildung-rp.de,unknown,1.0,0,
collato.com,unknown,1.0,0,
gemeinschaftspraxis-friedl.de,unknown,1.0,0,
langlois.de,unknown,1.0,0,
catalyt.de,unknown,1.0,0,
landkreistag-bw.de,unknown,1.0,0,
awater3d.com,unknown,1.0,0,
anne-christine-bischops.de,unknown,1.0,0,
tutool.io,unknown,1.0,0,
hkk.de,unknown,1.0,0,
vddecken.com,unknown,1.0,0,
familie-fendrich.de,unknown,1.0,0,
geskes.net,unknown,1.0,0,
kentsch-hattingen.de,unknown,1.0,0,
pnmszwettl.ac.at,unknown,1.0,0,
brigittelichtner.com,unknown,1.0,0,
ronecker.net,unknown,1.0,0,
schueler.fmsg-speyer.de,unknown,1.0,0,
johaho.de,unknown,1.0,0,
janus-productions.de,unknown,1.0,0,
dr-molter.com,unknown,1.0,0,
montessori-starnberg.de,unknown,1.0,0,
lun.ag,unknown,1.0,0,
team-word.com,unknown,1.0,0,
greator.com,unknown,1.0,0,
labbe-cie.de,unknown,1.0,0,
fosbos-kempten.de,unknown,1.0,0,
bbs-rohrbach.at,unknown,1.0,0,
nydigital.de,unknown,1.0,0,
arf-gmbh.de,unknown,1.0,0,
sandrabrauer.de,unknown,1.0,0,
sorpresa-online.de,0,0.0,0.0,
neunerofficial.eu,unknown,1.0,0,
luftmail.de,0,0.0,0.0,
ecole.at,unknown,1.0,0,
bercelisuli.hu,unknown,1.0,0,
zeyringer.at,unknown,1.0,0,
klinikum-weissenhof.de,unknown,1.0,0,
diakonie.de,unknown,1.0,0,
janitos.de,unknown,1.0,0,
ts.groemitz.de,unknown,1.0,0,
minden.de,unknown,1.0,0,
impakt360.com,unknown,1.0,0,
britta-meyer.eu,unknown,1.0,0,
nextdigital.de,unknown,1.0,0,
zibra.de,unknown,1.0,0,
plan-b-zentral.de,unknown,1.0,0,
danglefeet.com,unknown,1.0,0,
fit-for-crossmedia.de,unknown,1.0,0,
hms-architekten.de,unknown,1.0,0,
daad-lektorat.de,unknown,1.0,0,
goldnetz-berlin.de,unknown,1.0,0,
inara.pk,unknown,1.0,0,
delaware.pro,unknown,1.0,0,
dsb.de,unknown,1.0,0,
epiz-berlin.de,unknown,1.0,0,
heidelberg-instruments.com,unknown,1.0,0,
zeitfuerethik.com,unknown,1.0,0,
wp-solution.de,unknown,1.0,0,
entwicklung.eq-3.de,unknown,1.0,0,
villingen-schwenningen.de,unknown,1.0,0,
vollbio.de,unknown,0.0,0.0,
iiu.edu.pk,Pakistan,2.0,International Islamic University,
lsb.nrw,unknown,1.0,0,
spinner-group.com,unknown,1.0,0,
diakonie-hessen.de,unknown,1.0,0,
em.ag,unknown,1.0,0,
sabouret.de,unknown,1.0,0,
barbara-hardy.de,unknown,1.0,0,
oyen.de,unknown,1.0,0,
kalasek.at,unknown,1.0,0,
katja-mundt.ch,unknown,1.0,0,
bibliothek.uni-augsburg.de,Germany,2.0,Universität Augsburg,
raupeundschmetterling.de,unknown,1.0,0,
roetzsch.de,unknown,1.0,0,
kreisspitalstiftung.de,unknown,1.0,0,
kessler-recht.de,unknown,1.0,0,
ngkntk.de,unknown,1.0,0,
schlaun.ms.de,unknown,1.0,0,
hillmeneutik.com,unknown,1.0,0,
sisecam.com,unknown,1.0,0,
ibc-dreier.de,unknown,1.0,0,
wibocon.com,unknown,1.0,0,
haevg-rz.de,unknown,1.0,0,
retailconsultants.de,unknown,1.0,0,
jobstconsult.de,unknown,1.0,0,
mgm-tp.com,unknown,1.0,0,
sandmeier-consulting.de,unknown,1.0,0,
masfelder.de,unknown,1.0,0,
edu.stadt.sg.ch,unknown,1.0,0,
heidberg-hh.de,unknown,1.0,0,
elektronikschule.de,unknown,1.0,0,
vishay.com,unknown,1.0,0,
hice.de,unknown,1.0,0,
lisko.de,unknown,1.0,0,
harmonicdrive.de,unknown,1.0,0,
stud.hs-kl.de,Germany,2.0,Hochschule Kaiserslautern,
kuezh.ch,unknown,1.0,0,
faizeberger.com,unknown,1.0,0,
db-hh.de,unknown,1.0,0,
stefan-heinemann.com,unknown,1.0,0,
dhbw-mosbach.de,Germany,2.0,DHBW,
coachfaktor.de,unknown,1.0,0,
hak-sacre-coeur.at,unknown,1.0,0,
jms-eck.de,unknown,1.0,0,
abruennert.de,unknown,1.0,0,
biodiversity-projects.org,unknown,1.0,0,
nivoba.de,unknown,1.0,0,
cpscon.de,unknown,1.0,0,
breitenstein-consulting.de,unknown,1.0,0,
commerce-beratung.de,unknown,1.0,0,
tfk-consulting.com,unknown,1.0,0,
klinikum-stuttgart.de,unknown,1.0,0,
mowsky.de,unknown,1.0,0,
edu.dhbw-karlsruhe.de,Germany,2.0,DHBW,
janpressler.com,unknown,1.0,0,
hwk-pfalz.de,unknown,1.0,0,
nocodecreators.de,unknown,1.0,0,
kubusev.org,unknown,1.0,0,
team-impuls.de,unknown,1.0,0,
kauler.net,unknown,1.0,0,
yasni.de,unknown,1.0,0,
lumundi.de,unknown,1.0,0,
studio.unibo.it,Italy,2.0,University of Bologna,
bsz-grh.lernsax.de,unknown,1.0,0,
michaelgraf.digital,unknown,1.0,0,
ip.ai,unknown,1.0,0,
ebm-muenchen.de,unknown,1.0,0,
pornokratie.com,unknown,1.0,0,
fragfinn.de,unknown,1.0,0,
cbs-consulting.de,unknown,1.0,0,
obk.de,unknown,1.0,0,
reiseland-brandenburg.de,unknown,1.0,0,
segeberg.de,unknown,1.0,0,
bfi-burgenland.at,unknown,1.0,0,
science2.de,unknown,1.0,0,
freesurf.ch,unknown,1.0,0,
bernhard-gueldner.de,unknown,1.0,0,
christianenaumann.com,unknown,1.0,0,
generali.com,unknown,1.0,0,
kiefel.com,unknown,1.0,0,
ingmar.net,unknown,1.0,0,
mpi-it.com,unknown,1.0,0,
bader-consulting.de,unknown,1.0,0,
anna-schweingel.de,unknown,1.0,0,
yahoo.pl,unknown,0.0,0.0,
mitmedien.net,unknown,1.0,0,
scheubrein.de,unknown,1.0,0,
anne-guentert.de,unknown,1.0,0,
bzpflege.ch,unknown,1.0,0,
ars-limburg.de,unknown,1.0,0,
reisebine.de,unknown,1.0,0,
galope.gmbh,unknown,1.0,0,
kuehnrich.info,unknown,1.0,0,
barbara-hardy.com,unknown,1.0,0,
homolog.de,unknown,1.0,0,
ksbk-bochum.de,unknown,1.0,0,
triplempr.de,unknown,1.0,0,
reshaped.de,unknown,1.0,0,
gms-rain.de,unknown,1.0,0,
glancers.de,unknown,1.0,0,
biotronik.de,unknown,1.0,0,
ki-allianz.de,unknown,1.0,0,
markus-kamp.de,unknown,1.0,0,
soziale-bildung.org,unknown,1.0,0,
io360.de,unknown,1.0,0,
allebrodt.net,unknown,1.0,0,
illustration.space,unknown,1.0,0,
hardtberg-gymnasium.de,unknown,1.0,0,
cottage7.de,unknown,1.0,0,
schule-duebendorf.ch,unknown,1.0,0,
strassel.com,unknown,1.0,0,
bs-linz3.ac.at,unknown,1.0,0,
erletz.de,unknown,1.0,0,
georgmaubach.de,unknown,1.0,0,
4newwork.com,unknown,1.0,0,
getgenius.ai,unknown,1.0,0,
marnem.de,unknown,1.0,0,
dachlow.de,unknown,1.0,0,
diakovere.de,unknown,1.0,0,
mpiwg-berlin.mpg.de,unknown,1.0,0,
hajinejad.de,unknown,1.0,0,
nadine-scheck.de,unknown,1.0,0,
masterplan-consult.de,unknown,1.0,0,
drk-berlin.de,unknown,1.0,0,
tiplu.de,unknown,1.0,0,
digiply.de,unknown,1.0,0,
doppelpunkt.at,unknown,1.0,0,
activemind.legal,unknown,1.0,0,
epirus.com.br,unknown,1.0,0,
martina-troyer.de,unknown,1.0,0,
ulder.de,unknown,1.0,0,
danielmeessen.com,unknown,1.0,0,
gulbet.de,unknown,1.0,0,
e-steiermark.com,unknown,1.0,0,
vonbusch.digital,unknown,1.0,0,
bauer-world.com,unknown,1.0,0,
ag.ch,unknown,1.0,0,
landkreis-osterholz.de,unknown,1.0,0,
sgp-legal.de,unknown,1.0,0,
pbit-systeme.de,unknown,1.0,0,
co2online.de,0,0.0,0.0,
zeilinger.net,unknown,1.0,0,
somedia.ch,unknown,1.0,0,
hinauf.com,unknown,1.0,0,
payoneer.com,unknown,1.0,0,
smu-mail.de,0,0.0,0.0,
neumannangelika.info,unknown,1.0,0,
diploma.de,Germany,2.0,DIPLOMA - FH Nordhessen,
mpw.ch,unknown,1.0,0,
abbelen.de,unknown,1.0,0,
machudi.com,unknown,1.0,0,
sdw-berg.ch,unknown,1.0,0,
grg11.at,unknown,1.0,0,
hiplo.de,unknown,1.0,0,
global.ntt,unknown,1.0,0,
dannemann.com,unknown,1.0,0,
emsland.de,unknown,1.0,0,
klinikum-passau.de,unknown,1.0,0,
nrw-tourismus.de,unknown,1.0,0,
ursulaschulz.com,unknown,1.0,0,
kussmann-gyn.de,unknown,1.0,0,
vitako.de,unknown,1.0,0,
wbg-zentrum.de,unknown,1.0,0,
dtc-solutions.de,unknown,1.0,0,
ivoryssel.com,unknown,1.0,0,
metzler.com,unknown,1.0,0,
ksbk-do.de,Germany,2.0,Karl-Schiller-Berufskolleg (KSBK),
esolutions.de,unknown,1.0,0,
fruit-service.it,unknown,1.0,0,
lichtblick.de,unknown,1.0,0,
bitto.de,unknown,1.0,0,
congressa.de,unknown,1.0,0,
christianplass.com,unknown,1.0,0,
medialepfade.net,unknown,1.0,0,
mediamondi.de,unknown,1.0,0,
volkening.com,unknown,1.0,0,
protagene.com,unknown,1.0,0,
it-done.de,unknown,1.0,0,
adb.de,unknown,1.0,0,
teachers.org,unknown,0.0,0.0,
johannesschule.org,unknown,1.0,0,
zahntechnik-mehlhorn.de,unknown,1.0,0,
galbrecht.de,unknown,1.0,0,
eas.iis.fraunhofer.de,unknown,1.0,0,
lag-eeb-sl.de,unknown,1.0,0,
2wgmbh.de,unknown,1.0,0,
von-schoenfeldt.com,unknown,1.0,0,
haus-viadi.ch,unknown,1.0,0,
vonhanni.de,unknown,1.0,0,
qbiq.de,unknown,1.0,0,
netzgewinn.de,unknown,1.0,0,
kreativmail.de,0,0.0,0.0,
kouprianoff.de,unknown,1.0,0,
fuerstenfeldbruck.de,unknown,1.0,0,
inahagen.de,unknown,1.0,0,
ihssmail.de,0,0.0,0.0,
kvmyk.de,unknown,1.0,0,
zapp.com,unknown,1.0,0,
kai-rusche.de,unknown,1.0,0,
wetterer.family,unknown,1.0,0,
jvm.com,unknown,1.0,0,
usability.de,unknown,1.0,0,
roeschner.com,unknown,1.0,0,
amgrw.de,unknown,1.0,0,
bbsha.de,unknown,1.0,0,
pantaflow.ai,unknown,1.0,0,
die-kirch.de,unknown,1.0,0,
elearn.umfcluj.ro,Romania,2.0,University of Medicine and Pharmacy of Cluj-Napoca,
sefar.com,unknown,1.0,0,
ba-pankow.berlin.de,unknown,1.0,0,
deges.de,unknown,1.0,0,
shida-reher.de,unknown,1.0,0,
rbz-steinburg.de,unknown,1.0,0,
sozhw-bbslu.de,unknown,1.0,0,
dm-qseh.de,unknown,1.0,0,
prokopp.net,unknown,1.0,0,
lukb.ch,unknown,1.0,0,
peter-junglas.de,unknown,1.0,0,
ottavio.de,unknown,1.0,0,
