domain,country,provider_type,provider,count
students.zhaw.ch,Switzerland,2.0,ZHAW - Zürcher Hochschule für Angewandte Wissenschaften,
uni-luebeck.de,Germany,2.0,Universität Lübeck,
th-brandenburg.de,Germany,2.0,TH Brandenburg,
thi.de,Germany,2.0,TH Ingolstadt in Ingolstadt,
hs-aalen.de,Germany,2.0,Hochschule Aalen,
ph-ludwigsburg.de,Germany,2.0,PH Ludwigsburg,
cbs-mail.de,0,0.0,0.0,
stud.uni-goettingen.de,Germany,2.0,Universität Göttingen,
smail.uni-koeln.de,Germany,2.0,Universität Köln,
w-hs.de,Germany,2.0,Westfälische Hochschule,
stud.uni-heidelberg.de,Germany,2.0,Universität Heidelberg,
uni-hamburg.de,Germany,2.0,Universität Hamburg,
junge-tueftler.de,unknown,1.0,0,
th-wildau.de,Germany,2.0,TH Wildau,
kubus-it.de,unknown,1.0,0,
hs-albsig.de,Germany,2.0,Hochschule Albstadt-Sigmaringen,
wbstraining.de,unknown,1.0,0,
uni-hohenheim.de,Germany,2.0,Universität Hohenheim,
hwr-berlin.de,Germany,2.0,HWR Berlin,
mail.schwarz,unknown,1.0,0,
aon.at,unknown,0.0,0.0,
hs-pforzheim.de,Germany,2.0,Hochschule Pforzheim,
th-nuernberg.de,Germany,2.0,TH Nürnberg Georg Simon Ohm,
b-tu.de,Germany,2.0,BTU Cottbus-Senftenberg,
stud.dhsh.de,Germany,2.0,Duale Hochschule Schleswig-Holstein,
deutschebahn.com,unknown,1.0,0,
netcologne.de,0,0.0,0.0,
duck.com,0,0.0,0.0,
hs-mainz.de,Germany,2.0,Hochschule Mainz,
h-brs.de,Germany,2.0,Hochschule Bonn-Rhein-Sieg,
pm.me,0,0.0,0.0,
hwg-lu.de,Germany,2.0,Hochschule für Wirtschaft und Gesellschaft Ludwigshafen,
h-ka.de,Germany,2.0,Hochschule Karlsruhe,
dhbw-karlsruhe.de,Germany,2.0,DHBW,
lmu.de,Germany,2.0,Universität München,
unternehmertum.de,Germany,1.0,0,
tuhh.de,Germany,2.0,TU Hamburg,
lehre.dhbw-stuttgart.de,Germany,2.0,DHBW,
tutanota.com,0,0.0,0.0,
hs-offenburg.de,Germany,2.0,Hochschule Offenburg,
univie.ac.at,Austria,2.0,Universität Vienna,
unibas.ch,Switzerland,2.0,University of Basel,
hs-hannover.de,Germany,2.0,Hochschule Hannover,
hs-furtwangen.de,Germany,2.0,Hochschule Furtwangen,
mail.ru,unknown,0.0,0.0,
fh-swf.de,Germany,2.0,FH Südwestfalen,
hs-ansbach.de,Germany,2.0,Hochschule Ansbach,
euro-fh.de,Germany,2.0,Euro-FH Hamburg,
uni-mannheim.de,Germany,2.0,Universität Mannheim,
edu-fab.at,unknown,1.0,0,
uni-wuerzburg.de,Germany,2.0,Universität Würzburg,
uni-greifswald.de,Germany,2.0,Universität Greifswald,
mac.com,unknown,0.0,0.0,
hshl.de,Germany,2.0,Hochschule Hamm-Lippstadt,
iu.org,unknown,1.0,0,
arri.de,unknown,1.0,0,
posteo.net,0,0.0,0.0,
hs-kempten.de,Germany,2.0,Hochschule Kempten,
hawk.de,Germany,2.0,Hochschule Hildesheim/Holzminden/Göttingen,
uni-weimar.de,Germany,2.0,Bauhaus Universität Weimar,
h2.de,Germany,2.0,Hochschule Magdeburg-Stendal,
oth-regensburg.de,Germany,2.0,OTH Regensburg,
fh-dortmund.de,Germany,2.0,FH Dortmund,
sap.com,unknown,1.0,0,
uni-marburg.de,Germany,2.0,Universität Marburg,
ph-heidelberg.de,Germany,2.0,PH Heidelberg,
neocosmo.de,unknown,1.0,0,
kiron.ngo,unknown,1.0,0,
hslu.ch,Switzerland,2.0,Hochschule Luzern,
campus.uni-paderborn.de,Germany,2.0,Universität Paderborn,
ewe.de,unknown,1.0,0,
ulb.hhu.de,Germany,2.0,HHU Düsseldorf,
